k	Error	AverageF1
11	0	0.831388888888889
11	0.001	0.83
11	0.01	0.825555555555556
15	0	0.886666666666667
15	0.001	0.884444444444444
15	0.01	0.8825
19	0	0.904722222222222
19	0.001	0.904722222222222
19	0.01	0.8925
23	0	0.918611111111111
23	0.001	0.917222222222222
23	0.01	0.902222222222222
27	0	0.926388888888889
27	0.001	0.927777777777778
27	0.01	0.898333333333333
31	0	0.933055555555556
31	0.001	0.934444444444444
31	0.01	0.895
35	0	0.941111111111111
35	0.001	0.941111111111111
35	0.01	0.893888888888889
39	0	0.946388888888889
39	0.001	0.945555555555556
39	0.01	0.886666666666667
43	0	0.949722222222222
43	0.001	0.946944444444444
43	0.01	0.873888888888889
47	0	0.951666666666667
47	0.001	0.949444444444444
47	0.01	0.855555555555556
51	0	0.953055555555556
51	0.001	0.950555555555556
51	0.01	0.8375
55	0	0.959444444444444
55	0.001	0.953333333333333
55	0.01	0.819722222222222
59	0	0.966944444444444
59	0.001	0.962777777777778
59	0.01	0.794166666666667
63	0	0.97
63	0.001	0.965277777777778
63	0.01	0.755833333333333
67	0	0.973055555555556
67	0.001	0.972222222222222
67	0.01	0.693055555555556
71	0	0.976944444444444
71	0.001	0.973611111111111
71	0.01	0.576111111111111
75	0	0.979166666666667
75	0.001	0.975
75	0.01	0.331666666666667
79	0	0.979166666666667
79	0.001	0.975277777777778
79	0.01	0.0991666666666667
83	0	0.979444444444444
83	0.001	0.973888888888889
83	0.01	0.0277777777777778
87	0	0.974722222222222
87	0.001	0.969444444444444
87	0.01	0.0102777777777778
91	0	0.961944444444444
91	0.001	0.956111111111111
91	0.01	0
95	0	0.899166666666667
95	0.001	0.825277777777778
95	0.01	0
99	0	0
99	0.001	0
99	0.01	0
